Land’s End,
Pordenack Point,
Gwennap Head,
Logan Rock,
Cribba Head,
Merthan Point,
Penzer Point,
Penlee Point,
Cudden Point,
Rinsey Head,
Hoe Point,
Trewavas Head,
Poldhu Point,
Predannack Head,
Vellan Head,
Lizard Head,
Lizard Point,
Bass Point,
Black Head,
Lowland Point,
Manacle Point,
Nare Point,
Toll Point,
Rosemullion Head,
Pendinnis Point,
Zone Point,
Porthmellin Head,
Greeb Point,
Dodman Point,
Gorran Haven,
Chapel Point,
Penare Point,
Black Head,
Nare Head,
Gribbon Head,
Pencarrow Head,
Rame Head,
Penlee Point,
Gara Point,
Stoke Point,
Beacon Point,
Bolt Head,
Prawle Point,
Start Point,
Scabbacombe Head,
Sharkham Point,
Berry Head,
Hopes Nose,
Watcombe Head,
Bell Rock,
Bundle Head,
Shag Rock,
Langstone Rocks,
Orcombe Rocks,
Straight Point,
Otterton Ledge,
Humble Point,
Golden Cap,
Portland Bill,
Redcliff Point,
St Albans Head,
Durlston Head,
Ballard Point,
The Foreland,
Needs Ore Point,
Glikicker Point,
Selsey Bill,
Seaford Head,
Beachy Head,
Langney Point,
Dungeness,
Foreness,
Shell Ness,
Warden Point
