Land's End,
Cape Cornwall,
Pendent Watch,
Gurnard's Head,
Zennor Head,
Carn Naum Point,
St Ives Head,
Godrevy Point,
Navax Point,
St Agnes Head,
Cligga Point,
Ligger Point,
Penhale Point,
Kelsey Heath,
Towan Head,
Griffins Point,
Beryls Point,
Bedruthan's Steps,
Park Head,
Dinas Head,
Trevose Head,
Gunver Head,
Stepper Point,
Pentire Point,
Rumps Point,
Kelland Head,
Varley Head,
Tintagel Head,
Dizzard Point,
Steeple Point,
Sharpnose Point,
Damehole Point,
Hartland Point,
Baggy Point,
Monte Point,
Bull Point,
Foreland Point,
Hurlstone Point,
Sand Point,
Battery Point,
Penarth Head,
Lavernock Point,
Cold Knap Point,
Breaksea Point,
Nash Point,
Porthcawl Point,
Mumbles Head,
Pwlldu Head,
Oxwich Point,
Port Elinon Point,
Worms Head,
Burry Holms,
Salthouse Point,
Wharley Point,
Ginst Point,
Monkstone Point,
Giltar Point,
Lydstep Point,
Frewent Point,
Stackpole Head,
St Govans Head,
Linney Head,
Great Castle Head,
Dain Point,
St Anns Head,
Wooltack Point,
Rickets Head,
St Davids Head,
Ynys Daullyn,
Pen Brush,
Strumble Head,
Carregwastad Head,
Dinas Head,
Ynys Lochtyn,
Harlech Point,
Abermenai Point,
Ormes Head,
Point of Ayr,
Formby Point,
Rosall Point,
Humphrey Head,
Haverigg Point,
St Bees Head,
Redkirk Point,
Torduff Point,
Southerness Point,
Castlehill Point,
Balcary Point,
Abbey Head,
Ringdoo Point,
Ravenshall Point,
Burrow Head,
Point of Leg,
Barsalloch Point,
Ringdoo Point,
Killiness Point,
Mull of Galloway,
Laggantalluch Head,
Money Head,
Black Head,
Corswell Point,
Milleur Point,
Curare Port,
Bennane Head,
Heads of Ayr,
Farland Head,
Ardyre Point,
Ardlamont Point,
Skipness Point,
Carradale Point,
Baradale Point,
Glenacardoch Point,
Keppoch Point,
Point of Knap,
Lussa Point,
Radha na Gaillich,
Rudh ant-Sailein,
Craignish Point,
Rudha an Ridire,
Auliston Point,
Ardnamurchan Point,
Sanna Point,
Ockle Point,
Rudha Aird Druimnich,
Rudha Raonuill,
Rudh Ard Slisneach,
Rudha na Fearn,
Red Point,
Rudha Reidh,
Greenstone Point,
Rudha Beag,
Stattic Point,
Cailleach Head,
Rhu Coigach,
Point of Stoer,
Rudha Ruadh,
Rudh an Fhir Leithe,
Cape Wrath,
Cleit Dhubh,
Faraid Head,
Whiten Head,
Farr Point,
Kirtomy Point,
Ardmore Point,
Strathy Point,
Brims Ness,
Holborn Head,
Briga Head,
Dunnet Head,
St Johns Point,
Duncansby Head,
Ness Head,
Brough Head,
Noss Head,
South Head,
Halberry Head,
Clyth Ness,
Ord of Caithness,
Tarbat Ness,
Chanonry Point,
Whiteness Head,
Burghead,
Troup Head,
Kinnaird Head,
Rattray Head,
Peterhead,
The Skares,
Doonie Point,
Garron Point,
Todhead Point,
Milton Ness,
Scurdie Ness,
Boddin Point,
Red Head,
The Deils Head,
Buddon Ness,
Tentsmuir Point,
Fife Ness,
Craigelaw Point,
Barns Ness,
Chapel Point,
Reed Point,
Siccar Point,
St Abbs Head,
Castle Point,
Guile Point,
Cullemose Point,
Beacon Point,
Souter Point,
The Headland,
North Cheek,
South Cheek,
Cromer Point,
Filey Brigg,
Flamborough Head,
Spurn Head,
Chapel Point,
Ingoldmells Point,
Gilbraltar Point,
Lowestonft Ness,
Benacre Ness,
Orford Ness,
North Weir Point,
Landguard Point,
The Naze,
Colne Point,
Shinglehead Point,
Sales Point,
Holliwell Point,
Foulness Point,
Shoebury Nest,
Canvey Point
